Round,Mean_Variance,Number_of_outliers,Layer,Attack_Type,MALICIOUS_NODE_RATIO,MALICIOUS_DATA_RATIO,Weight_Min,Weight_Max,Weight_Mean,Weight_Median,Weight_Std,Weight_Q25,Weight_Q75,First_Weight,Run ID
1,0.0,0,distilbert.transformer.layer.1.attention.out_lin.weight,random,0.1,0.1,-0.45707044,0.45196703,-2.5535912e-06,2.4734883e-05,0.035427567,-0.022019021,0.022064593,0.0122276665642857,0
2,0.0,0,distilbert.transformer.layer.1.attention.out_lin.weight,random,0.1,0.1,-0.4574298,0.45366618,-2.088908e-06,1.7487251e-05,0.03542843,-0.022019587,0.022072796,0.0130800250917673,0
1,0.0,0,distilbert.transformer.layer.2.attention.k_lin.weight,random,0.1,0.1,-0.33888343,0.36843982,3.9500894e-05,4.883338e-05,0.047444105,-0.031149127,0.03117739,0.0945663526654243,0
2,0.0,0,distilbert.transformer.layer.2.attention.k_lin.weight,random,0.1,0.1,-0.338706,0.36900842,3.9380182e-05,4.9404094e-05,0.047447506,-0.031158078,0.031172214,0.0964599475264549,0
1,0.0,0,distilbert.transformer.layer.0.attention.k_lin.weight,random,0.1,0.1,-0.937729,0.78095865,9.924597e-06,4.8183738e-05,0.043190528,-0.027057735,0.02705393,0.0371307209134101,0
2,0.0,0,distilbert.transformer.layer.0.attention.k_lin.weight,random,0.1,0.1,-0.93542874,0.78098154,1.3057947e-05,4.801819e-05,0.04319154,-0.027056672,0.027031813,0.0341223888099193,0
2,0.0,0,distilbert.transformer.layer.0.output_layer_norm.weight,random,0.1,0.1,0.10509004,0.84880584,0.746988,0.75960636,0.07073918,0.728817,0.7876368,0.7975783348083496,0
1,0.0,0,distilbert.transformer.layer.0.output_layer_norm.weight,random,0.1,0.1,0.10676817,0.8490036,0.74704504,0.76003706,0.07077969,0.72869337,0.788056,0.7972766757011414,0
2,0.0,0,distilbert.transformer.layer.4.ffn.lin2.weight,random,0.1,0.1,-4.2564883,2.3775308,-1.13434035e-05,2.0751559e-05,0.042057678,-0.026495991,0.026575126,0.0465305633842945,0
1,0.0,0,distilbert.transformer.layer.4.ffn.lin2.weight,random,0.1,0.1,-4.2543325,2.3772795,-1.5842314e-05,9.792042e-06,0.04205769,-0.026504204,0.02657815,0.0461600832641124,0
1,0.0,0,distilbert.transformer.layer.2.attention.v_lin.weight,random,0.1,0.1,-0.23228551,0.23678152,8.405028e-05,4.727914e-05,0.042274863,-0.02736062,0.027535591,0.0674958899617195,0
2,0.0,0,distilbert.transformer.layer.2.attention.v_lin.weight,random,0.1,0.1,-0.23474216,0.23630637,8.358172e-05,5.5629393e-05,0.042276397,-0.027357072,0.027526725,0.0680477917194366,0
2,0.0,0,distilbert.transformer.layer.3.sa_layer_norm.weight,random,0.1,0.1,0.4827997,3.4658017,0.7386286,0.7408496,0.12914713,0.6798586,0.794588,0.8442334532737732,0
1,0.0,0,distilbert.transformer.layer.3.sa_layer_norm.weight,random,0.1,0.1,0.48123828,3.4668243,0.7385318,0.7403996,0.12920746,0.6788668,0.7936846,0.8426428437232971,0
1,0.0,0,distilbert.transformer.layer.2.output_layer_norm.weight,random,0.1,0.1,0.48151717,0.9419762,0.8108516,0.82629013,0.07641845,0.7663834,0.8681613,0.906818389892578,0
2,0.0,0,distilbert.transformer.layer.2.output_layer_norm.weight,random,0.1,0.1,0.48217884,0.9429549,0.81090766,0.8266425,0.07641737,0.76693225,0.8690263,0.9079115390777588,0
1,0.0,0,distilbert.transformer.layer.2.ffn.lin1.weight,random,0.1,0.1,-0.7966144,1.2013019,0.00025816954,8.449363e-05,0.046109673,-0.029017087,0.029356847,-0.0113260373473167,0
2,0.0,0,distilbert.transformer.layer.2.ffn.lin1.weight,random,0.1,0.1,-0.7961499,1.200809,0.000257935,7.810937e-05,0.04610759,-0.029031813,0.029356275,-0.0118716862052679,0
