Round,Mean_Variance,Number_of_outliers,Layer,Attack_Type,MALICIOUS_NODE_RATIO,MALICIOUS_DATA_RATIO,Weight_Min,Weight_Max,Weight_Mean,Weight_Median,Weight_Std,Weight_Q25,Weight_Q75,First_Weight,Run_ID,Source File,Is Malicious Data
1,0.0,0,distilbert.transformer.layer.1.attention.out_lin.weight,normal,0.0,0.0,-0.456347,0.45474914,-2.5668467e-06,2.0219406e-05,0.035427853,-0.02202994,0.02208668,0.0117539810016751,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.1.attention.out_lin.weight,normal,0.0,0.0,-0.45598018,0.4517151,-2.4503074e-06,2.2571738e-05,0.035427194,-0.022031032,0.022070918,0.0108608417212963,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.2.attention.k_lin.weight,normal,0.0,0.0,-0.33852306,0.36833024,3.92164e-05,4.819384e-05,0.047448426,-0.031167045,0.031166025,0.0954121053218841,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.2.attention.k_lin.weight,normal,0.0,0.0,-0.33909786,0.3680205,3.9766637e-05,2.1181659e-05,0.047444914,-0.031184236,0.031172961,0.0958238467574119,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.0.attention.k_lin.weight,normal,0.0,0.0,-0.9352046,0.7816282,1.26923305e-05,5.794583e-05,0.04319124,-0.027027434,0.027059348,0.0355696268379688,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.0.attention.k_lin.weight,normal,0.0,0.0,-0.93616855,0.7823404,9.0736585e-06,5.9515816e-05,0.043195676,-0.027058277,0.027048036,0.0342668108642101,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.0.output_layer_norm.weight,normal,0.0,0.0,0.10637804,0.8482163,0.74704343,0.7598225,0.070703715,0.7286491,0.78757,0.7977971434593201,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.0.output_layer_norm.weight,normal,0.0,0.0,0.10526839,0.84932506,0.74702984,0.75965685,0.070716344,0.72896564,0.78761744,0.798022449016571,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.4.ffn.lin2.weight,normal,0.0,0.0,-4.2569156,2.3773918,-4.000755e-06,2.6172984e-05,0.042057328,-0.026489642,0.026593098,0.0449615642428398,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.4.ffn.lin2.weight,normal,0.0,0.0,-4.254005,2.378792,-3.9600534e-05,-2.0713305e-05,0.042057574,-0.02652981,0.026548153,0.0442673861980438,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.2.attention.v_lin.weight,normal,0.0,0.0,-0.23382725,0.23683013,8.228789e-05,4.886256e-05,0.042278025,-0.027373036,0.02751832,0.0681337714195251,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.2.attention.v_lin.weight,normal,0.0,0.0,-0.23265249,0.2353594,8.490191e-05,7.551783e-05,0.04227423,-0.027375236,0.027526813,0.0686166211962699,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.3.sa_layer_norm.weight,normal,0.0,0.0,0.4832918,3.465713,0.73862505,0.7406765,0.12915118,0.6789935,0.7939471,0.8423067927360535,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.3.sa_layer_norm.weight,normal,0.0,0.0,0.48267022,3.466234,0.73861295,0.7401179,0.12916578,0.67882997,0.79416656,0.8410699963569641,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.2.output_layer_norm.weight,normal,0.0,0.0,0.4817354,0.94087774,0.8108352,0.82660365,0.07643145,0.76636136,0.86870605,0.9058821201324464,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.2.output_layer_norm.weight,normal,0.0,0.0,0.48205608,0.94237304,0.8108868,0.8269057,0.0764342,0.76651335,0.8685609,0.9064496755599976,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.2.ffn.lin1.weight,normal,0.0,0.0,-0.79452395,1.2008153,0.00025856477,7.9257414e-05,0.046107683,-0.02904461,0.029359665,-0.0117765190079808,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.2.ffn.lin1.weight,normal,0.0,0.0,-0.7947163,1.200707,0.00025759955,8.1481034e-05,0.046107776,-0.029026037,0.029352078,-0.0126365246251225,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.1.attention.q_lin.weight,normal,0.0,0.0,-0.53989416,0.56763154,-4.1239673e-06,8.99653e-05,0.05642553,-0.03477539,0.03464837,0.0931795835494995,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.1.attention.q_lin.weight,normal,0.0,0.0,-0.53846794,0.56869996,-2.7108715e-06,0.000101384176,0.05643492,-0.034788363,0.034668013,0.0928806811571121,0,dataset_normal.csv,False
2,0.0,0,distilbert.embeddings.LayerNorm.weight,normal,0.0,0.0,0.08798508,0.9300577,0.7442257,0.773975,0.13549405,0.7298324,0.8124562,0.8409515619277954,0,dataset_normal.csv,False
1,0.0,0,distilbert.embeddings.LayerNorm.weight,normal,0.0,0.0,0.087839365,0.9307408,0.744201,0.7738007,0.13544181,0.7301773,0.81247574,0.8423261642456055,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.3.output_layer_norm.weight,normal,0.0,0.0,0.3185913,1.1543837,0.77433616,0.77996176,0.050179847,0.74732983,0.8088703,0.8403282761573792,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.3.output_layer_norm.weight,normal,0.0,0.0,0.31715322,1.1536807,0.77434564,0.78006494,0.050206147,0.74731594,0.8088573,0.8408980369567871,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.5.ffn.lin2.weight,normal,0.0,0.0,-3.1848252,1.0857161,-2.3832732e-05,-1.0936539e-05,0.037088085,-0.024562865,0.024523318,-0.0045167184434831,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.5.ffn.lin2.weight,normal,0.0,0.0,-3.1852977,1.0870981,9.226925e-06,2.0048488e-05,0.037088584,-0.02452607,0.024549816,-0.0036171644460409,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.5.sa_layer_norm.weight,normal,0.0,0.0,0.59845084,1.5376369,0.77164984,0.7653502,0.058526706,0.7453503,0.78539777,0.7906385064125061,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.5.sa_layer_norm.weight,normal,0.0,0.0,0.59928966,1.5373797,0.7716627,0.76547897,0.05848797,0.74535704,0.7853366,0.7903632521629333,0,dataset_normal.csv,False
