,Mean_Variance_mean,Mean_Variance_std,Mean_Variance_min,Mean_Variance_max,Mean_Variance_median,Number_of_outliers_mean,Number_of_outliers_std,Number_of_outliers_min,Number_of_outliers_max,Number_of_outliers_median,Num_Layers,Middle_Mean_Variance_mean,Middle_Mean_Variance_std,Middle_Mean_Variance_min,Middle_Mean_Variance_max,Middle_Mean_Variance_median,Middle_Mean_Variance_Change_Rate_mean,Middle_Mean_Variance_Change_Rate_std,Middle_Mean_Variance_Change_Rate_min,Middle_Mean_Variance_Change_Rate_max,Middle_Mean_Variance_Change_Rate_median,Final_Mean_Variance_mean,Final_Mean_Variance_std,Final_Mean_Variance_min,Final_Mean_Variance_max,Final_Mean_Variance_median,Final_Mean_Variance_Change_Rate_mean,Final_Mean_Variance_Change_Rate_std,Final_Mean_Variance_Change_Rate_min,Final_Mean_Variance_Change_Rate_max,Final_Mean_Variance_Change_Rate_median,Attack_Type
Mean_Variance_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean_Variance_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean_Variance_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean_Variance_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean_Variance_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_outliers_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_outliers_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_outliers_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_outliers_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_outliers_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Num_Layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle_Mean_Variance_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle_Mean_Variance_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle_Mean_Variance_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle_Mean_Variance_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle_Mean_Variance_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle_Mean_Variance_Change_Rate_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle_Mean_Variance_Change_Rate_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle_Mean_Variance_Change_Rate_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle_Mean_Variance_Change_Rate_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle_Mean_Variance_Change_Rate_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mean_Variance_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mean_Variance_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mean_Variance_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mean_Variance_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mean_Variance_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mean_Variance_Change_Rate_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mean_Variance_Change_Rate_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mean_Variance_Change_Rate_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mean_Variance_Change_Rate_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final_Mean_Variance_Change_Rate_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack_Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
