,Mean_Variance_mean,Mean_Variance_std,Mean_Variance_min,Mean_Variance_max,Mean_Variance_median,Number_of_outliers_mean,Number_of_outliers_std,Number_of_outliers_min,Number_of_outliers_max,Number_of_outliers_median,Num_Layers,Middle_Mean_Variance_mean,Middle_Mean_Variance_std,Middle_Mean_Variance_min,Middle_Mean_Variance_max,Middle_Mean_Variance_median,Middle_Mean_Variance_Change_Rate_mean,Middle_Mean_Variance_Change_Rate_std,Middle_Mean_Variance_Change_Rate_min,Middle_Mean_Variance_Change_Rate_max,Middle_Mean_Variance_Change_Rate_median,Final_Mean_Variance_mean,Final_Mean_Variance_std,Final_Mean_Variance_min,Final_Mean_Variance_max,Final_Mean_Variance_median,Final_Mean_Variance_Change_Rate_mean,Final_Mean_Variance_Change_Rate_std,Final_Mean_Variance_Change_Rate_min,Final_Mean_Variance_Change_Rate_max,Final_Mean_Variance_Change_Rate_median,Attack_Type
Mean_Variance_mean,1.0,0.9837463191430155,0.9936837323033676,0.9897823487524935,0.9991750972574784,0.38431216018765313,0.36701110396748504,,0.23409233721288772,,,0.999971384757816,0.9763579392851226,0.993848901439764,0.9891766468493712,0.9979737167622655,-0.6193544636298199,-0.29544817825769426,0.13980304618249828,-0.18180800644122766,0.45329384697363007,0.9994349381326746,0.9479144149436096,0.9960720082971504,0.983649682494882,0.9942550373175613,0.6129534247153712,0.5937004339097496,0.012709117320680722,0.8616964117361946,0.2293426839634263,0.9990866791821823
Mean_Variance_std,0.9837463191430155,1.0,0.9620858437662311,0.9986906387756019,0.9761230878298601,0.3749467388838642,0.36082053672496106,,0.20252487843918948,,,0.9839206364444025,0.9987687909793854,0.9593870924758313,0.9986379824228574,0.9744572539685258,-0.6193836156905868,-0.2810820782184078,0.09849696266019717,-0.20789106737038812,0.4294294111515839,0.9798353432204632,0.9865404764181411,0.9679591272149015,0.9940799565062877,0.9653691182514151,0.630090175998631,0.6712165010400377,-0.026958097396609055,0.8815841456056123,0.14230928687693975,0.9782879151765528
Mean_Variance_min,0.9936837323033676,0.9620858437662311,1.0,0.9727846523227746,0.9958432174014992,0.40453616671680276,0.38792844845990365,,0.258121318219159,,,0.9937901026493406,0.9528099528584927,0.9966990744174775,0.9720954404146784,0.9948308709521417,-0.6364839742801522,-0.3253878454805076,0.13218940607861,-0.1856813227800773,0.4911901601483799,0.995807188420532,0.9169806490011125,0.9987605362963441,0.9690294926210393,0.9977640926253905,0.5783477097734593,0.5574992743982601,0.045985235992372545,0.857750198418489,0.22361197560108817,0.9952247031415417
Mean_Variance_max,0.9897823487524935,0.9986906387756019,0.9727846523227746,1.0,0.9835055588396905,0.3701009534336077,0.3545521202326373,,0.20040151929809918,,,0.9899977155545363,0.9970180308125784,0.969029685617284,0.999975826528856,0.9821452924622062,-0.6355788172885931,-0.3015215213610119,0.09177353167101113,-0.2191453038714095,0.44548347432482793,0.9872519167134545,0.9789536656310873,0.977921105522887,0.9951426613199796,0.9760117995719462,0.6263761500733128,0.6576234423641174,-0.00038784717268763527,0.8823874462694897,0.1526577856349255,0.9853384347290945
Mean_Variance_median,0.9991750972574784,0.9761230878298601,0.9958432174014992,0.9835055588396905,1.0,0.3847207339992909,0.3664026617906492,,0.23958109506928824,,,0.9991368720125211,0.9671007420208496,0.996686752950678,0.9827585690582754,0.9990030392928707,-0.6187651691157141,-0.2997352984088051,0.14538004341614919,-0.17860033922616572,0.45754913681112636,0.9991439165516689,0.9369390438616195,0.9976218365618752,0.9778459801106298,0.9959760321495962,0.6116299528743027,0.579791564289764,0.014072062177536341,0.8570449552014062,0.25559227559694203,0.9993400143275147
Number_of_outliers_mean,0.38431216018765313,0.3749467388838642,0.40453616671680276,0.3701009534336077,0.3847207339992909,1.0,0.9923166250968105,,0.9428511633958605,,,0.3842139889228685,0.362276619756722,0.39385486484687243,0.36833944147334613,0.35420613381037364,-0.3964863666654922,-0.24945270667179015,-0.03448505576235744,-0.10152009174531958,0.4132637937007037,0.3768349826876996,0.4012292741277115,0.3944687945383928,0.4034354783076784,0.39407943726874833,0.10481591442700391,0.1895582304196039,-0.20835977138975662,0.45597940052157926,-0.0713450820926511,0.38185109374367215
Number_of_outliers_std,0.36701110396748504,0.36082053672496106,0.38792844845990365,0.3545521202326373,0.3664026617906492,0.9923166250968105,1.0,,0.9413515097228136,,,0.36684196996674767,0.3482146821665938,0.37613869715826553,0.352652309252639,0.3356365076635926,-0.34007662345575634,-0.1833289147760115,0.021668520987218647,-0.0417317768134388,0.3585563375930062,0.35883220359125956,0.3878010267014255,0.3742469188290096,0.3896614836397508,0.37767152581315977,0.03063214735617335,0.15226873170199423,-0.17239412527641151,0.43971200624285867,-0.10702939636920726,0.3636156167694508
Number_of_outliers_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_outliers_max,0.23409233721288772,0.20252487843918948,0.258121318219159,0.20040151929809918,0.23958109506928824,0.9428511633958605,0.9413515097228136,,1.0,,,0.23327722394639985,0.18583149053813847,0.2520502540968421,0.197779220230795,0.210474176151944,-0.29979601702985775,-0.22838149923305467,-0.03966859565371688,-0.0942592179989175,0.3456578320116345,0.22423882220441435,0.20734603271105417,0.24214489834247285,0.237022197255225,0.249060072744092,0.02286085506499801,0.009736165033619399,-0.2373417926861942,0.30930819119934977,0.06355904745629479,0.23833597913787544
Number_of_outliers_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
